datetime,open,high,low,close,volume
2020/1/1 5:00,7175.44,7175.44,7172.1,7172.11,5604.376109
2020/1/2 5:00,7237.58,7237.58,7235.68,7235.68,8199.166091
2020/1/3 5:00,6948.99,6952.06,6948.21,6951.78,21208.02089
2020/1/4 5:00,7316.6,7324.34,7316.6,7323.54,73540.90207
2020/1/5 5:00,7341.88,7342.77,7340.31,7341.47,5747.080892
2020/1/6 5:00,7431.8,7431.8,7422.58,7425.28,249556.2309
2020/1/7 5:00,7549.73,7555.53,7548.73,7554.5,160948.6608
2020/1/8 5:00,8160.83,8170.46,8160.83,8166.0,150739.6685
2020/1/9 5:00,8046.8,8046.8,8028.94,8032.3,163123.716
2020/1/10 5:00,7818.1,7822.96,7772.04,7774.5,2928655.724
2020/1/11 5:00,8071.66,8074.09,8066.37,8072.9,28374.58137
2020/1/12 5:00,8161.65,8161.65,8157.89,8160.96,8351.420378
2020/1/13 5:00,8137.09,8144.73,8137.04,8144.73,50133.59207
2020/1/14 5:00,8154.96,8157.96,8151.87,8151.87,129901.2093
2020/1/15 5:00,8690.63,8690.63,8686.5,8690.59,89894.69063
2020/1/16 5:00,8815.37,8830.0,8814.34,8818.44,301373.7306
2020/1/17 5:00,8742.66,8750.0,8742.61,8750.0,89059.23061
2020/1/18 5:00,8881.67,8889.35,8878.0,8885.3,111653.4207
2020/1/19 5:00,8907.15,8909.67,8905.81,8905.93,22375.96234
2020/1/20 5:00,8647.11,8649.33,8646.1,8646.1,34702.72661
2020/1/21 5:00,8674.41,8674.41,8668.0,8671.69,65005.19446
2020/1/22 5:00,8719.99,8746.0,8718.18,8733.92,2055658.664
2020/1/23 5:00,8666.98,8667.14,8665.39,8667.14,50615.35537
2020/1/24 5:00,8372.08,8372.09,8365.34,8367.51,168514.1857
2020/1/25 5:00,8486.92,8486.92,8478.15,8478.15,114013.2243
2020/1/26 5:00,8369.26,8377.94,8369.26,8377.01,75571.2381
2020/1/27 5:00,8568.1,8579.07,8568.1,8570.16,121446.6891
2020/1/28 5:00,8984.0,8988.0,8977.24,8977.24,338595.5703
2020/1/29 5:00,9061.4,9063.17,9058.55,9059.49,11337.28831
2020/1/30 5:00,9384.9,9389.25,9382.61,9388.65,15563.4452
2020/1/31 5:00,9574.61,9576.0,9571.73,9576.0,71877.68958
2020/2/1 5:00,9324.05,9325.0,9323.99,9324.47,7871.21131
2020/2/2 5:00,9379.56,9379.56,9374.49,9374.79,7750.304832
2020/2/3 5:00,9436.92,9438.35,9435.5,9435.51,10735.03563
2020/2/4 5:00,9319.21,9319.21,9313.94,9313.95,16098.93318
2020/2/5 5:00,9206.41,9206.41,9198.27,9199.58,35848.43315
2020/2/6 5:00,9674.12,9678.4,9673.91,9678.4,79463.05938
2020/2/7 5:00,9782.97,9784.36,9782.13,9782.13,7128.481208
2020/2/8 5:00,9743.56,9745.61,9743.56,9745.02,38738.08804
2020/2/9 5:00,9860.04,9861.18,9859.98,9861.18,11595.51005
2020/2/10 5:00,10065.21,10065.21,10060.22,10060.22,41026.51117
2020/2/11 5:00,9853.78,9856.05,9853.77,9855.32,7611.975285
2020/2/12 5:00,10224.98,10230.78,10223.27,10223.7,34145.3862
2020/2/13 5:00,10374.99,10382.01,10374.03,10381.79,269172.2557
2020/2/14 5:00,10226.94,10226.97,10210.0,10214.38,115302.4095
2020/2/15 5:00,10353.18,10353.62,10350.99,10350.99,15425.75575
2020/2/16 5:00,9895.97,9898.46,9893.98,9895.41,26044.25613
2020/2/17 5:00,9780.2,9780.21,9773.4,9774.53,23462.8228
2020/2/18 5:00,9628.24,9630.95,9621.92,9621.92,105137.7189
2020/2/19 5:00,10151.68,10162.18,10150.75,10161.11,568189.6777
2020/2/20 5:00,10153.01,10156.48,10143.44,10145.09,336221.2876
2020/2/21 5:00,9582.36,9591.83,9582.36,9591.76,68354.9971
2020/2/22 5:00,9696.61,9696.61,9690.09,9690.2,63150.32396
2020/2/23 5:00,9676.0,9685.0,9676.0,9683.3,43366.81386
2020/2/24 5:00,9866.0,9869.67,9857.15,9860.19,155726.2971
2020/2/25 5:00,9595.26,9595.52,9590.02,9592.85,62241.17781
