date,close,open,high,low,volume,change
2022/2/10,20.74,19.96,20.86,19.96,-,3.91%
2022/2/9,19.96,21.27,21.3,19.93,-,-6.90%
2022/2/8,21.44,23.09,23.48,21.32,-,-6.21%
2022/2/7,22.86,24.09,24.82,22.02,-,-1.55%
2022/2/4,23.22,23.77,26.26,22.07,-,-4.64%
2022/2/3,24.35,22.63,25.81,22.3,-,10.23%
2022/2/2,22.09,21.56,22.73,20.46,-,0.59%
2022/2/1,21.96,24.57,25.33,21.96,-,-11.56%
2022/1/31,24.83,28.36,29.41,24.71,-,-10.23%
2022/1/28,27.66,30.27,32.82,27.28,-,-9.28%
2022/1/27,30.49,32.19,33,28.42,-,-4.60%
2022/1/26,31.96,29.35,33.04,26.9,-,2.57%
2022/1/25,31.16,32.29,35.85,29.13,-,4.21%
2022/1/24,29.9,28.2,38.94,28.02,-,3.64%
2022/1/21,28.85,25.38,29.79,25.31,-,12.74%
2022/1/20,25.59,23.46,25.89,21.68,-,7.30%
2022/1/19,23.85,23.12,23.99,21.85,-,4.65%
2022/1/18,22.79,21.18,23.2,21.18,-,18.76%
2022/1/14,19.19,20.11,22.07,19.05,-,-5.51%
2022/1/13,20.31,18.06,20.61,17.45,-,15.27%
2022/1/12,17.62,18.17,18.69,17.36,-,-4.29%
2022/1/11,18.41,19.62,21,18.2,-,-5.10%
2022/1/10,19.4,19.58,23.33,19.29,-,3.41%
2022/1/7,18.76,19.85,20.8,18.57,-,-4.33%
2022/1/6,19.61,20.29,21.06,19.08,-,-0.61%
2022/1/5,19.73,17.07,20.17,16.58,-,16.68%
2022/1/4,16.91,16.57,17.81,16.34,-,1.87%
2022/1/3,16.6,17.6,18.54,16.56,-,-3.60%
2021/12/31,17.22,17.63,18.27,16.99,-,-0.63%
2021/12/30,17.33,17.3,17.79,16.62,-,2.24%
2021/12/29,16.95,17.63,18,16.71,-,-3.36%
2021/12/28,17.54,17.78,18.47,17.51,-,-0.79%
2021/12/27,17.68,19.37,19.41,17.55,-,-1.56%
2021/12/24,17.96,17.96,17.96,17.96,-,0.00%
2021/12/23,17.96,18.81,18.93,17.62,-,-3.60%
2021/12/22,18.63,21.04,21.36,18.59,-,-11.33%
2021/12/21,21.01,22.28,22.68,20.9,-,-8.13%
2021/12/20,22.87,25.89,27.39,22.85,-,6.03%
2021/12/17,21.57,20.7,23.26,20.49,-,4.86%
2021/12/16,20.57,18.56,22.13,18.19,-,6.64%
2021/12/15,19.29,21.6,23.47,19.02,-,-11.88%
2021/12/14,21.89,19.67,23,19.67,-,7.78%
2021/12/13,20.31,19.29,21.18,18.96,-,8.67%
2021/12/10,18.69,21.27,21.3,18.69,-,-13.39%
2021/12/9,21.58,20.31,22.12,19.94,-,8.44%
2021/12/8,19.9,21.74,23.11,19.85,-,-9.09%
2021/12/7,21.89,24.58,24.69,21.58,-,-19.46%
2021/12/6,27.18,28.99,30.82,26.75,-,-11.38%
2021/12/3,30.67,26.95,35.32,25.89,-,9.73%
2021/12/2,27.95,29.44,30.68,27.15,-,-10.19%
2021/12/1,31.12,24.92,32.61,22.38,-,14.45%
2021/11/30,27.19,26.23,28.56,23.71,-,18.42%
2021/11/29,22.96,25.31,25.69,21.71,-,-19.78%
2021/11/26,28.62,26.62,28.99,23.88,-,54.04%
2021/11/25,18.58,18.58,18.58,18.58,-,0.00%
2021/11/24,18.58,19.17,20.96,18.52,-,-4.13%
2021/11/23,19.38,20.24,20.91,19.03,-,1.10%
2021/11/22,19.17,18.2,19.59,17.35,-,7.04%
2021/11/19,17.91,17.36,19.01,17.23,-,1.82%
2021/11/18,17.59,16.81,18.15,16.38,-,2.81%
2021/11/17,17.11,16.36,17.19,16.28,-,4.52%
2021/11/16,16.37,16.86,17.08,16.03,-,-0.73%
2021/11/15,16.49,17.03,17.46,16.49,-,1.23%
2021/11/12,16.29,17.49,17.69,16.15,-,-7.76%
2021/11/11,17.66,18.34,18.39,17.27,-,-5.71%
2021/11/10,18.73,17.74,19.9,17.22,-,5.34%
2021/11/9,17.78,17.43,18.57,17.21,-,3.25%
2021/11/8,17.22,17.23,17.69,16.44,-,4.49%
2021/11/5,16.48,15.59,17.02,14.95,-,6.74%
2021/11/4,15.44,15.06,16.14,14.73,-,2.25%
2021/11/3,15.1,16.11,16.39,14.9,-,-5.80%
2021/11/2,16.03,16.54,16.65,15.89,-,-2.32%
2021/11/1,16.41,16.85,17.7,16.32,-,0.92%
2021/10/29,16.26,17.4,18.06,16.13,-,-1.63%
2021/10/28,16.53,17.06,17.16,16.23,-,-2.65%
2021/10/27,16.98,15.79,17.29,15.54,-,6.26%
2021/10/26,15.98,15.02,16.71,14.9,-,4.86%
2021/10/25,15.24,16.14,16.33,15.1,-,-1.23%
2021/10/22,15.43,15.35,16.39,14.84,-,2.80%
2021/10/21,15.01,16.06,16.11,14.92,-,-3.10%
2021/10/20,15.49,15.82,15.89,15.29,-,-1.34%
2021/10/19,15.7,16.09,16.31,15.57,-,-3.74%
2021/10/18,16.31,17.29,17.93,16.27,-,0.06%
